1286	2797	206	200	72
1937	2247	165	5	72
1668	2060	135	10	72
1522	2341	135	10	72
2195	1361	138	1	84
1765	953	138	1	84
1881	1301	138	1	72
1447	1118	142	1	72
983	1552	142	1	72
1144	1914	142	1	72
1009	1077	142	1	72
1447	1821	157	5	84
1028	2273	165	5	84
1507	310	165	5	72
2543	1941	168	25	84
1761	1611	172	25	84
628	635	183	25	84
1421	1466	191	100	72
1458	759	198	100	72
2206	2603	202	200	84
1088	519	202	100	84
508	1312	206	100	84
639	2445	206	100	72
1922	355	157	5	84
2423	216	138	10	72
2169	710	183	25	72
2356	927	127	10	72
2475	1372	138	10	84
2176	2045	180	25	84
1742	2573	135	10	72
