1907	2195	172	5	72
2139	2000	187	25	84
2416	145	135	10	72
1701	2539	135	10	72
1626	2015	135	10	72
1477	2296	138	10	72
2180	1316	138	1	84
1862	1249	142	1	72
1750	893	142	1	84
1421	1058	142	1	72
1099	1862	150	1	72
942	1488	150	1	72
972	1009	150	1	72
1413	1772	157	5	84
979	2225	165	5	84
1492	231	168	5	72
2524	1907	168	25	84
1735	1563	172	25	84
590	546	187	25	84
1387	1413	198	100	72
2169	2573	202	200	84
1436	684	202	100	72
1058	433	206	100	84
456	1237	213	100	84
579	2389	213	100	72
1222	2752	217	200	72
1914	295	168	5	84
2161	650	187	25	72
2348	878	150	10	72
2449	1316	127	10	84
