1922	2221	168	5	72
2161	2030	180	25	84
2423	172	127	10	72
1641	2034	135	10	72
1712	2554	135	10	72
1492	2315	135	10	72
2195	1338	138	1	84
1873	1271	138	1	72
1761	920	142	1	84
1436	1077	142	1	72
957	1510	150	1	72
1107	1881	150	1	72
983	1028	150	1	72
1428	1791	157	5	84
1507	254	165	5	72
987	2247	168	5	84
2539	1926	168	25	84
1750	1582	172	25	84
605	568	187	25	84
1402	1432	198	100	72
2180	2595	202	200	84
1443	710	202	100	72
1073	460	206	100	84
471	1264	213	100	84
594	2404	213	100	72
1241	2775	213	200	72
1922	306	168	5	84
2169	665	180	25	72
2359	893	138	10	72
2464	1338	127	10	84
