1286	2797	206	5	72
1937	2247	165	1	72
1668	2060	135	2	72
1522	2341	135	2	72
2195	1361	138	0	84
1765	953	138	0	84
1881	1301	138	0	72
1447	1118	142	0	72
983	1552	142	0	72
1144	1914	142	0	72
1009	1077	142	0	72
1447	1821	157	1	84
1028	2273	165	1	84
1507	310	165	1	72
2543	1941	168	3	84
1761	1611	172	3	84
628	635	183	3	84
1421	1466	191	4	72
1458	759	198	4	72
2206	2603	202	5	84
1088	519	202	4	84
508	1312	206	4	84
639	2445	206	4	72
1922	355	157	1	84
2423	216	138	2	72
2169	710	183	3	72
2356	927	127	2	72
2475	1372	138	2	84
2176	2045	180	3	84
1742	2573	135	2	72
