1922	2221	168	1	72
2161	2030	180	3	84
2423	172	127	2	72
1641	2034	135	2	72
1712	2554	135	2	72
1492	2315	135	2	72
2195	1338	138	0	84
1873	1271	138	0	72
1761	920	142	0	84
1436	1077	142	0	72
957	1510	150	0	72
1107	1881	150	0	72
983	1028	150	0	72
1428	1791	157	1	84
1507	254	165	1	72
987	2247	168	1	84
2539	1926	168	3	84
1750	1582	172	3	84
605	568	187	3	84
1402	1432	198	4	72
2180	2595	202	5	84
1443	710	202	4	72
1073	460	206	4	84
471	1264	213	4	84
594	2404	213	4	72
1241	2775	213	5	72
1922	306	168	1	84
2169	665	180	3	72
2359	893	138	2	72
2464	1338	127	2	84
