620	624	202	3	84
1279	2793	221	5	72
1641	2057	135	2	72
1727	2573	135	2	72
1499	2333	135	2	72
2184	1357	138	0	84
1862	1294	138	0	72
1750	949	138	0	84
1432	1114	142	0	72
1118	1907	142	0	72
957	1540	142	0	72
987	1069	150	0	72
1884	344	157	1	84
1428	1817	157	1	84
1492	299	165	3	72
1002	2270	165	1	84
2528	1941	168	3	84
1746	1608	172	3	84
1398	1462	191	4	72
1436	751	198	4	72
2184	2603	202	5	84
1069	504	202	4	84
478	1301	206	4	84
609	2434	213	4	72
2161	695	172	3	72
2344	923	127	2	72
2475	1361	135	2	84
2161	2034	191	3	84
1914	2236	180	1	72
2401	201	127	2	72
