1907	2195	172	1	72
2139	2000	187	3	84
2416	145	135	2	72
1701	2539	135	2	72
1626	2015	135	2	72
1477	2296	138	2	72
2180	1316	138	0	84
1862	1249	142	0	72
1750	893	142	0	84
1421	1058	142	0	72
1099	1862	150	0	72
942	1488	150	0	72
972	1009	150	0	72
1413	1772	157	1	84
979	2225	165	1	84
1492	231	168	1	72
2524	1907	168	3	84
1735	1563	172	3	84
590	546	187	3	84
1387	1413	198	4	72
2169	2573	202	5	84
1436	684	202	4	72
1058	433	206	4	84
456	1237	213	4	84
579	2389	213	4	72
1222	2752	217	5	72
1914	295	168	1	84
2161	650	187	3	72
2348	878	150	2	72
2449	1316	127	2	84
